start_image_path,end_image_path,text-representation_start-position,text-representation_end-position
images/1860/checker_move_start_v2.jpg,images/1860/checker_move_end_v2.jpg,2;2;2;2;2;2;2;2;2;0;1;2;1;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;0;2;1;2;1;2;2;2
images/0353/checker_move_start_v2.jpg,images/0353/checker_move_end_v2.jpg,1;1;2;1;2;0;2;2;2;2;2;2;2;2;2;2;2;2;2,0;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2
images/1333/checker_move_start_v2.jpg,images/1333/checker_move_end_v2.jpg,1;1;2;1;2;1;2;1;0;1;2;1,1;1;2;1;2;1;2;0;2;1;1;1
images/0905/checker_move_start_v2.jpg,images/0905/checker_move_end_v2.jpg,2;2;2;2;2;2;2;1;2;1;2;1;2;0;1;1,2;2;2;2;2;2;2;2;0;1;2;1;2;1;1;1
images/1289/checker_move_start_v2.jpg,images/1289/checker_move_end_v2.jpg,2;2;2;2;1;2;0;2;1;2;2;2;2,2;2;2;2;0;2;1;2;1;2;2;2;2
images/1273/checker_move_start_v2.jpg,images/1273/checker_move_end_v2.jpg,2;2;2;2;2;1;2;1;2;1;2;1;2;1;2;0;2;2;2,2;2;2;2;2;1;2;1;2;1;2;0;2;1;2;1;2;2;2
images/0938/checker_move_start_v2.jpg,images/0938/checker_move_end_v2.jpg,2;1;2;1;2;1;2;1;2;1;2;1;0;1;2;1;2;1;2,2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;0;1;2
images/1731/checker_move_start_v2.jpg,images/1731/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;0;2;2,1;1;1;1;1;1;1;1;1;2;0;2;1;2;1;2;1;2
images/0065/checker_move_start_v2.jpg,images/0065/checker_move_end_v2.jpg,1;0;2;2;2;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;2;2;2;0;1
images/1323/checker_move_start_v2.jpg,images/1323/checker_move_end_v2.jpg,1;1;2;1;2;0;2;1;2;1;1;1,0;1;2;1;2;1;2;1;2;1;1;1
images/0056/checker_move_start_v2.jpg,images/0056/checker_move_end_v2.jpg,1;1;1;0;2;2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2;2;0;1;1;1
images/1292/checker_move_start_v2.jpg,images/1292/checker_move_end_v2.jpg,1;1;1;1;1;1;1;2;1;0;2;2;2;2;2;2;2,1;1;1;1;1;2;1;0;1;2;1;2;2;2;2;2;2
images/1118/checker_move_start_v2.jpg,images/1118/checker_move_end_v2.jpg,1;1;0;2;1;2;1;2;2;2;2;2;2,1;0;1;2;1;2;1;2;2;2;2;2;2
images/0584/checker_move_start_v2.jpg,images/0584/checker_move_end_v2.jpg,1;1;1;1;1;1;2;1;2;1;2;1;0;1;1;1;1;1;1,1;1;1;1;1;1;2;0;2;1;2;1;1;1;1;1;1;1;1
images/0374/checker_move_start_v2.jpg,images/0374/checker_move_end_v2.jpg,1;1;1;1;2;1;0;1;2;1,1;1;1;1;2;1;2;0;1;1
images/0275/checker_move_start_v2.jpg,images/0275/checker_move_end_v2.jpg,2;2;2;1;0;1;2;1;2;2;2;2;2;2;2;2;2;2,2;2;2;1;2;1;2;1;2;0;2;2;2;2;2;2;2;2
images/0746/checker_move_start_v2.jpg,images/0746/checker_move_end_v2.jpg,1;1;1;1;1;1;2;1;2;1;0;1;2;1;2;1;2;2;2,1;1;1;1;1;1;2;1;2;1;2;1;0;1;2;1;2;2;2
images/0128/checker_move_start_v2.jpg,images/0128/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;1;1;0;2;2;2;2;2;2;2,2;2;2;2;2;2;2;0;1;1;1;1;1;1;1;1;1;1
images/1646/checker_move_start_v2.jpg,images/1646/checker_move_end_v2.jpg,1;1;1;0;2;2,1;1;2;0;2;1
images/1852/checker_move_start_v2.jpg,images/1852/checker_move_end_v2.jpg,1;1;0;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2,1;1;2;1;2;1;0;1;2;2;2;2;2;2;2;2;2;2
images/0674/checker_move_start_v2.jpg,images/0674/checker_move_end_v2.jpg,1;1;2;1;2;1;2;1;2;0;2;2,1;1;2;1;2;0;2;1;2;1;2;2
images/1664/checker_move_start_v2.jpg,images/1664/checker_move_end_v2.jpg,2;2;2;1;2;1;2;1;2;1;2;1;0;1;2;1;2;2,2;2;2;1;2;1;2;1;2;1;2;1;2;1;2;1;0;2
images/1981/checker_move_start_v2.jpg,images/1981/checker_move_end_v2.jpg,1;1;1;1;1;2;1;2;1;0;1;2;2;2;2;2;2;2,1;1;1;1;1;2;1;2;1;2;1;2;0;2;2;2;2;2
images/1083/checker_move_start_v2.jpg,images/1083/checker_move_end_v2.jpg,2;1;2;1;2;1;2;1;0;1;2;1;1,2;1;2;1;2;1;2;1;2;1;0;1;1
images/1922/checker_move_start_v2.jpg,images/1922/checker_move_end_v2.jpg,2;2;2;2;1;0;1;2;1;2;1;2;1;2;1;1;1;1;1,2;2;2;2;1;2;1;2;1;2;1;0;1;2;1;1;1;1;1
images/0099/checker_move_start_v2.jpg,images/0099/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;1;1;0;2;2;2;2;2,2;2;2;2;2;0;1;1;1;1;1;1;1;1;1;1
images/1179/checker_move_start_v2.jpg,images/1179/checker_move_end_v2.jpg,1;1;1;1;0;1;2;1;2;1;2;1;1,1;1;1;1;2;1;2;1;0;1;2;1;1
images/0964/checker_move_start_v2.jpg,images/0964/checker_move_end_v2.jpg,1;1;1;1;2;0;2;1;2;1;2;1;2;1;1;1;1;1;1,1;1;2;1;2;1;2;1;0;1;2;1;2;1;1;1;1;1;1
images/0792/checker_move_start_v2.jpg,images/0792/checker_move_end_v2.jpg,1;1;1;1;1;1;2;1;2;1;2;1;2;0;2;2,1;1;1;1;1;1;2;0;2;1;2;1;2;1;2;2
images/0029/checker_move_start_v2.jpg,images/0029/checker_move_end_v2.jpg,1;1;1;0;2;2;2;2;2;2,2;2;2;2;2;2;0;1;1;1
images/0628/checker_move_start_v2.jpg,images/0628/checker_move_end_v2.jpg,2;2;2;2;2;2;2;2;2;2;2;2;1;2;0;2;1;2,2;2;2;2;2;2;2;2;2;2;2;2;2;0;1;2;1;2
images/0944/checker_move_start_v2.jpg,images/0944/checker_move_end_v2.jpg,2;2;2;2;2;1;2;1;2;1;0;1;2;1,2;2;2;2;2;1;2;1;2;1;2;0;1;1
images/0572/checker_move_start_v2.jpg,images/0572/checker_move_end_v2.jpg,1;1;2;0;2;1,2;1;0;1;2;1
images/0907/checker_move_start_v2.jpg,images/0907/checker_move_end_v2.jpg,1;1;1;1;1;1;1;1;1;0;1;2,1;1;1;1;1;1;1;0;1;2;1;1
