start_image_path,end_image_path,text-representation_start-position,text-representation_end-position
images/0682/tower_of_hanoi_start.jpg,images/0682/tower_of_hanoi_end.jpg,"[[5], [4, 3, 2, 1], []]","[[], [4, 3], [5, 2, 1]]"
images/1319/tower_of_hanoi_start.jpg,images/1319/tower_of_hanoi_end.jpg,"[[6, 5, 3, 2, 1], [4], []]","[[6, 5, 3, 2], [], [4, 1]]"
images/0576/tower_of_hanoi_start.jpg,images/0576/tower_of_hanoi_end.jpg,"[[5, 4, 2, 1], [3], []]","[[5, 4], [], [3, 2, 1]]"
images/1637/tower_of_hanoi_start.jpg,images/1637/tower_of_hanoi_end.jpg,"[[1], [5, 3, 2], [4]]","[[4], [5, 3, 2, 1], []]"
images/0331/tower_of_hanoi_start.jpg,images/0331/tower_of_hanoi_end.jpg,"[[4, 3], [], [6, 5, 2, 1]]","[[], [3, 2], [6, 5, 4, 1]]"
images/0904/tower_of_hanoi_start.jpg,images/0904/tower_of_hanoi_end.jpg,"[[5, 4, 3], [6, 2, 1], []]","[[5, 4, 3, 2], [6], [1]]"
images/0173/tower_of_hanoi_start.jpg,images/0173/tower_of_hanoi_end.jpg,"[[3], [4, 2], [1]]","[[3, 2, 1], [4], []]"
images/0829/tower_of_hanoi_start.jpg,images/0829/tower_of_hanoi_end.jpg,"[[5], [4], [6, 3, 2, 1]]","[[5], [4, 3, 2], [6, 1]]"
images/0493/tower_of_hanoi_start.jpg,images/0493/tower_of_hanoi_end.jpg,"[[3], [4], [6, 5, 2, 1]]","[[3], [4, 1], [6, 5, 2]]"
images/0374/tower_of_hanoi_start.jpg,images/0374/tower_of_hanoi_end.jpg,"[[4], [3, 2], [1]]","[[4], [3, 2, 1], []]"
images/1569/tower_of_hanoi_start.jpg,images/1569/tower_of_hanoi_end.jpg,"[[5], [6, 3, 2, 1], [4]]","[[5, 4, 1], [6, 3], [2]]"
images/1594/tower_of_hanoi_start.jpg,images/1594/tower_of_hanoi_end.jpg,"[[6, 4, 1], [2], [5, 3]]","[[6, 4, 3, 2, 1], [5], []]"
images/0715/tower_of_hanoi_start.jpg,images/0715/tower_of_hanoi_end.jpg,"[[1], [4, 3], [6, 5, 2]]","[[3, 2], [4, 1], [6, 5]]"
images/1617/tower_of_hanoi_start.jpg,images/1617/tower_of_hanoi_end.jpg,"[[], [6, 5, 3, 2, 1], [4]]","[[], [6, 5, 1], [4, 3, 2]]"
images/0637/tower_of_hanoi_start.jpg,images/0637/tower_of_hanoi_end.jpg,"[[2, 1], [3], [5, 4]]","[[4], [3, 2], [5, 1]]"
