model,display,task,n_boards,n_questions,raw_acc,d_oracle,d_tddn,d_diff,recovery_pct
gemma-3-27b,Gemma-3-27B,chess,800,8,0.5775,0.0175,-0.0063,0.0238,-35.7
gemma-4-12b,Gemma-4-12B-it,chess,800,8,0.6,0.0638,0.0262,0.0375,41.2
gemma-4-26b-a4b,Gemma-4-26B-A4B-it,chess,800,8,0.7275,0.025,0.0012,0.0237,5.0
gemma-4-31b,Gemma-4-31B-it,chess,800,8,0.8113,0.015,-0.0038,0.0187,-25.0
internvl3-8b,InternVL-3-8B,chess,800,8,0.48,0.0325,0.0213,0.0112,65.4
qwen2.5-vl-7b,Qwen2.5-VL-7B-Instruct,chess,800,8,0.4838,0.0563,0.0375,0.0188,66.7
qwen3.6-27b,Qwen3.6-27B,chess,800,8,0.8013,0.0462,0.0225,0.0238,48.6
qwen3.6-35b-a3b,Qwen3.6-35B-A3B,chess,800,8,0.7987,-0.0213,-0.0375,0.0162,
gemma-3-27b,Gemma-3-27B,nqueens,100,4,0.4825,0.0075,0.0225,-0.015,300.0
gemma-4-12b,Gemma-4-12B-it,nqueens,100,4,0.75,-0.0075,-0.0125,0.005,
gemma-4-26b-a4b,Gemma-4-26B-A4B-it,nqueens,100,4,0.78,0.025,0.03,-0.005,120.0
gemma-4-31b,Gemma-4-31B-it,nqueens,100,4,0.78,0.0225,0.015,0.0075,66.7
internvl3-8b,InternVL-3-8B,nqueens,100,4,0.4975,0.02,0.0125,0.0075,62.5
llava-v1.6-vicuna-7b,LLaVA-1.6-Vicuna-7B,nqueens,100,4,0.4875,-0.0025,-0.0025,0.0,
qwen2.5-vl-7b,Qwen2.5-VL-7B-Instruct,nqueens,100,4,0.51,0.04,0.0175,0.0225,43.8
qwen3.6-27b,Qwen3.6-27B,nqueens,100,4,0.6875,0.07,0.065,0.005,92.9
qwen3.6-35b-a3b,Qwen3.6-35B-A3B,nqueens,100,4,0.58,0.07,0.0875,-0.0175,125.0
