pair,linear_cka,pwcca
dino(cls) ↔ dino(mean),0.22609161518927276,0.845912280268042
dino(cls) ↔ cd(2+5+8),0.20971079057952918,0.7367180455323596
dino(cls) ↔ DDN_g,0.8105343818962912,0.9940957293779007
dino(mean) ↔ cd(2+5+8),0.2202230085266031,0.7268675484269383
dino(mean) ↔ DDN_g,0.41172980098748235,0.9208617214284284
cd(2+5+8) ↔ DDN_g,0.6138086886107733,0.9022988499799004
fused ↔ dino(cls),0.4722149670674861,0.8952406673170845
fused ↔ dino(mean),0.182262497957157,0.8344425810195171
fused ↔ cd(2+5+8),0.2129039408255705,0.7848576990429502
vith ↔ dino(cls),0.4837392402194739,0.8974788007387458
vith ↔ dino(mean),0.1907927718009724,0.8326637742517076
