model,dataset,mode,top1
clip,caltech101,zero_shot,86.49
dfn_l14,caltech101,zero_shot,93.03
fgclip2_large,caltech101,zero_shot,91.13
metaclip_l14,caltech101,zero_shot,90.17
openclip_l14,caltech101,zero_shot,91.23
siglip2_l16,caltech101,zero_shot,93.93
tddn,caltech101,cupl,77.70
tddn,caltech101,tip,90.50
tddn,caltech101,zero_shot,75.06
tdn,caltech101,cupl,78.30
tdn,caltech101,tip,89.60
tdn,caltech101,zero_shot,74.61
clip,cifar100,zero_shot,77.79
dfn_l14,cifar100,zero_shot,88.40
fgclip2_large,cifar100,zero_shot,81.85
metaclip_l14,cifar100,zero_shot,84.24
openclip_l14,cifar100,zero_shot,83.81
siglip2_l16,cifar100,zero_shot,82.17
tddn,cifar100,cupl,75.30
tddn,cifar100,tip,86.80
tddn,cifar100,zero_shot,78.22
tdn,cifar100,cupl,75.70
tdn,cifar100,tip,85.70
tdn,cifar100,zero_shot,75.09
clip,food101,zero_shot,92.04
dfn_l14,food101,zero_shot,92.58
fgclip2_large,food101,zero_shot,93.85
metaclip_l14,food101,zero_shot,91.69
openclip_l14,food101,zero_shot,88.91
siglip2_l16,food101,zero_shot,94.45
tddn,food101,cupl,66.80
tddn,food101,tip,86.20
tddn,food101,zero_shot,51.30
tdn,food101,cupl,63.80
tdn,food101,tip,84.70
tdn,food101,zero_shot,51.81
clip,gtsrb,zero_shot,39.06
dfn_l14,gtsrb,zero_shot,47.60
fgclip2_large,gtsrb,zero_shot,33.65
metaclip_l14,gtsrb,zero_shot,48.61
openclip_l14,gtsrb,zero_shot,39.90
siglip2_l16,gtsrb,zero_shot,48.38
tddn,gtsrb,cupl,11.10
tddn,gtsrb,tip,36.30
tddn,gtsrb,zero_shot,8.75
tdn,gtsrb,cupl,14.80
tdn,gtsrb,tip,41.60
tdn,gtsrb,zero_shot,8.30
