model,dataset,protocol,n_images,i2t_r1,t2i_r1
clip,coco,val2014_all_40k,40504,34.60,18.53
dfn_l14,coco,val2014_all_40k,40504,41.68,26.90
fgclip2_large,coco,val2014_all_40k,40504,47.05,32.69
metaclip_l14,coco,val2014_all_40k,40504,40.85,25.73
openclip_l14,coco,val2014_all_40k,40504,39.25,25.39
siglip2_l16,coco,val2014_all_40k,40504,49.77,33.84
tddn,coco,val2014_all_40k,40504,35.40,23.82
tdn,coco,val2014_all_40k,40504,38.08,25.08
clip,flickr30k,karpathy_test_1k,1000,87.70,66.96
dfn_l14,flickr30k,karpathy_test_1k,1000,89.80,75.34
fgclip2_large,flickr30k,karpathy_test_1k,1000,93.80,80.86
metaclip_l14,flickr30k,karpathy_test_1k,1000,90.00,76.44
openclip_l14,flickr30k,karpathy_test_1k,1000,89.50,75.52
siglip2_l16,flickr30k,karpathy_test_1k,1000,95.00,82.56
tddn,flickr30k,karpathy_test_1k,1000,85.30,71.24
tdn,flickr30k,karpathy_test_1k,1000,85.80,72.88
