model,top1,top5,dim,k,n_train,n_val
cd,38.744,57.154,3200,20,100000,50000
clip,73.098,91.350,768,20,100000,50000
ddn,83.798,94.954,5760,20,100000,50000
dinov2-vitb,78.224,92.874,768,20,100000,50000
dinov2-vitg,79.288,92.762,1536,20,100000,50000
dinov3,80.000,92.000,2560,20,5000,100
sd+dinov2-vitb,77.294,92.892,3968,20,100000,50000
sd+dinov2-vitg,78.386,93.046,4736,20,100000,50000
sd-2.1,12.932,24.772,3200,20,100000,50000
tddn,76.084,90.990,2560,20,100000,50000
tdn,75.904,90.778,2560,20,100000,50000
