image_path,text-representation_start-position,text-representation_end-position
images/0243/water_jugs_0243.jpg,"A=11/13
B=7/8
C=5/5
D=0/3","A=13/13
B=7/8
C=0/5
D=3/3"
images/0101/water_jugs_0101.jpg,"A=13/13
B=10/12
C=4/6","A=11/13
B=10/12
C=6/6"
images/0961/water_jugs_0961.jpg,"A=5/14
B=5/13
C=8/8
D=3/6
E=1/1","A=4/14
B=10/13
C=1/8
D=6/6
E=1/1"
images/1060/water_jugs_1060.jpg,"A=11/14
B=7/13
C=0/8
D=3/6
E=1/1","A=9/14
B=6/13
C=0/8
D=6/6
E=1/1"
images/0522/water_jugs_0522.jpg,"A=5/12
B=6/7
C=5/5
D=1/3","A=10/12
B=7/7
C=0/5
D=0/3"
images/0935/water_jugs_0935.jpg,"A=11/11
B=0/10
C=1/9
D=2/5
E=3/4","A=0/11
B=4/10
C=8/9
D=5/5
E=0/4"
images/0874/water_jugs_0874.jpg,"A=10/14
B=4/13
C=4/8
D=3/6
E=1/1","A=9/14
B=12/13
C=0/8
D=1/6
E=0/1"
images/0265/water_jugs_0265.jpg,"A=13/13
B=4/8
C=5/5
D=1/3","A=9/13
B=6/8
C=5/5
D=3/3"
images/0128/water_jugs_0128.jpg,"A=10/10
B=0/3
C=1/1","A=9/10
B=1/3
C=1/1"
images/0296/water_jugs_0296.jpg,"A=6/12
B=4/7
C=5/5
D=2/3","A=5/12
B=4/7
C=5/5
D=3/3"
images/0939/water_jugs_0939.jpg,"A=4/11
B=9/10
C=3/9
D=1/5
E=0/4","A=11/11
B=2/10
C=1/9
D=0/5
E=3/4"
images/0088/water_jugs_0088.jpg,"A=11/13
B=10/12
C=6/6","A=13/13
B=12/12
C=2/6"
images/0380/water_jugs_0380.jpg,"A=8/12
B=7/7
C=1/5
D=1/3","A=7/12
B=3/7
C=5/5
D=2/3"
images/0481/water_jugs_0481.jpg,"A=8/12
B=7/7
C=1/5
D=1/3","A=6/12
B=7/7
C=4/5
D=0/3"
images/1108/water_jugs_1108.jpg,"A=2/11
B=5/10
C=6/9
D=0/5
E=4/4","A=8/11
B=5/10
C=4/9
D=0/5
E=0/4"
images/0753/water_jugs_0753.jpg,"A=11/13
B=7/8
C=5/5
D=0/3","A=13/13
B=3/8
C=4/5
D=3/3"
images/0432/water_jugs_0432.jpg,"A=12/13
B=4/8
C=4/5
D=3/3","A=13/13
B=5/8
C=2/5
D=3/3"
images/0044/water_jugs_0044.jpg,"A=13/13
B=10/12
C=4/6","A=13/13
B=8/12
C=6/6"
images/0740/water_jugs_0740.jpg,"A=12/13
B=8/8
C=0/5
D=3/3","A=10/13
B=7/8
C=5/5
D=1/3"
images/0760/water_jugs_0760.jpg,"A=10/12
B=5/7
C=0/5
D=2/3","A=9/12
B=4/7
C=1/5
D=3/3"
images/0109/water_jugs_0109.jpg,"A=7/10
B=3/3
C=1/1","A=10/10
B=0/3
C=1/1"
images/0113/water_jugs_0113.jpg,"A=9/10
B=2/3
C=0/1","A=10/10
B=1/3
C=0/1"
images/0351/water_jugs_0351.jpg,"A=12/13
B=7/8
C=3/5
D=1/3","A=12/13
B=8/8
C=2/5
D=1/3"
images/0056/water_jugs_0056.jpg,"A=11/13
B=12/12
C=4/6","A=13/13
B=12/12
C=2/6"
images/1070/water_jugs_1070.jpg,"A=9/11
B=4/10
C=1/9
D=3/5
E=0/4","A=11/11
B=2/10
C=1/9
D=0/5
E=3/4"
images/0425/water_jugs_0425.jpg,"A=10/12
B=5/7
C=0/5
D=2/3","A=9/12
B=3/7
C=2/5
D=3/3"
images/0533/water_jugs_0533.jpg,"A=8/12
B=5/7
C=3/5
D=1/3","A=5/12
B=7/7
C=5/5
D=0/3"
images/0677/water_jugs_0677.jpg,"A=6/12
B=5/7
C=4/5
D=2/3","A=10/12
B=4/7
C=3/5
D=0/3"
images/0718/water_jugs_0718.jpg,"A=6/12
B=5/7
C=4/5
D=2/3","A=11/12
B=0/7
C=4/5
D=2/3"
images/0158/water_jugs_0158.jpg,"A=12/13
B=4/8
C=4/5
D=3/3","A=13/13
B=7/8
C=0/5
D=3/3"
images/0523/water_jugs_0523.jpg,"A=11/13
B=7/8
C=4/5
D=1/3","A=10/13
B=6/8
C=4/5
D=3/3"
images/0361/water_jugs_0361.jpg,"A=8/13
B=7/8
C=5/5
D=3/3","A=11/13
B=8/8
C=4/5
D=0/3"
images/1069/water_jugs_1069.jpg,"A=4/14
B=6/13
C=6/8
D=5/6
E=1/1","A=9/14
B=12/13
C=0/8
D=1/6
E=0/1"
images/0616/water_jugs_0616.jpg,"A=11/13
B=6/8
C=3/5
D=3/3","A=9/13
B=6/8
C=5/5
D=3/3"
images/0328/water_jugs_0328.jpg,"A=9/13
B=8/8
C=4/5
D=2/3","A=12/13
B=6/8
C=2/5
D=3/3"
images/0086/water_jugs_0086.jpg,"A=11/13
B=11/12
C=5/6","A=13/13
B=12/12
C=2/6"
images/0803/water_jugs_0803.jpg,"A=14/14
B=5/13
C=0/8
D=3/6
E=0/1","A=13/14
B=7/13
C=0/8
D=2/6
E=0/1"
images/0847/water_jugs_0847.jpg,"A=6/11
B=5/10
C=2/9
D=1/5
E=3/4","A=11/11
B=2/10
C=1/9
D=0/5
E=3/4"
images/0732/water_jugs_0732.jpg,"A=11/13
B=7/8
C=4/5
D=1/3","A=10/13
B=8/8
C=3/5
D=2/3"
images/0423/water_jugs_0423.jpg,"A=9/12
B=0/7
C=5/5
D=3/3","A=6/12
B=7/7
C=4/5
D=0/3"
