start_image_path,end_image_path,text-representation_start-position,text-representation_end-position
images/0247/wood_slide_start.jpg,images/0247/wood_slide_end.jpg,"7;6;3;3
7;6;2;2
1;1;5;4
1;1;0;0
8;8;9;9","0;6;3;3
0;6;2;2
7;1;1;5
7;1;1;4
8;8;9;9"
images/0670/wood_slide_start.jpg,images/0670/wood_slide_end.jpg,"0;5;4;0
3;3;2;2
6;7;1;1
6;7;1;1
8;8;9;9","5;4;2;2
0;3;3;0
6;7;1;1
6;7;1;1
8;8;9;9"
images/0227/wood_slide_start.jpg,images/0227/wood_slide_end.jpg,"6;0;3;3
6;0;2;2
7;1;1;5
7;1;1;4
8;8;9;9","6;0;3;3
6;2;2;5
7;1;1;4
7;1;1;0
8;8;9;9"
images/0290/wood_slide_start.jpg,images/0290/wood_slide_end.jpg,"5;4;2;2
3;3;0;0
6;7;1;1
6;7;1;1
8;8;9;9","0;5;0;4
3;3;2;2
6;7;1;1
6;7;1;1
8;8;9;9"
images/0538/wood_slide_start.jpg,images/0538/wood_slide_end.jpg,"2;2;0;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","1;1;2;2
1;1;3;3
0;4;5;0
6;7;8;8
6;7;9;9"
images/0796/wood_slide_start.jpg,images/0796/wood_slide_end.jpg,"3;3;0;5
6;2;2;4
6;7;1;1
0;7;1;1
8;8;9;9","6;3;3;5
6;2;2;4
7;1;1;0
7;1;1;0
8;8;9;9"
images/0198/wood_slide_start.jpg,images/0198/wood_slide_end.jpg,"2;2;0;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9","0;2;2;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9"
images/0596/wood_slide_start.jpg,images/0596/wood_slide_end.jpg,"2;2;3;3
6;1;1;0
6;1;1;0
7;8;8;4
7;9;9;5","2;2;3;3
6;1;1;0
6;1;1;4
7;8;8;5
7;9;9;0"
images/0319/wood_slide_start.jpg,images/0319/wood_slide_end.jpg,"2;2;3;3
1;1;0;4
1;1;0;5
6;7;8;8
6;7;9;9","0;2;2;0
1;1;3;3
1;1;4;5
6;7;8;8
6;7;9;9"
images/0569/wood_slide_start.jpg,images/0569/wood_slide_end.jpg,"5;4;2;2
3;3;0;0
6;7;1;1
6;7;1;1
8;8;9;9","5;4;2;2
0;7;3;3
6;7;1;1
6;0;1;1
8;8;9;9"
images/0066/wood_slide_start.jpg,images/0066/wood_slide_end.jpg,"4;7;2;2
0;7;3;3
5;6;1;1
0;6;1;1
8;8;9;9","4;7;2;2
5;7;3;3
0;6;1;1
0;6;1;1
8;8;9;9"
images/0231/wood_slide_start.jpg,images/0231/wood_slide_end.jpg,"6;3;3;5
6;2;2;4
7;1;1;0
7;1;1;0
8;8;9;9","6;3;3;5
6;2;2;0
7;1;1;4
7;1;1;0
8;8;9;9"
images/0440/wood_slide_start.jpg,images/0440/wood_slide_end.jpg,"4;7;2;2
5;7;3;3
0;6;1;1
0;6;1;1
8;8;9;9","5;4;2;2
0;7;3;3
6;7;1;1
6;0;1;1
8;8;9;9"
